date,city,population,population_imp,case,case_imp,death,death_imp,rate,rate_imp
1685592000.0,Wolcott,16587.0,0,4688.0,0,65.0,0,61.99596616796852,1
1685592000.0,Woodbridge,8750.0,0,2110.0,0,51.0,0,0.0,0
1685592000.0,Woodbury,9502.0,0,2003.0,0,16.0,0,63.222680634683734,1
1685592000.0,Woodstock,7858.0,0,1613.0,0,9.0,0,62.08377631834689,1
1685592000.0,Not_available,12958.837488829085,1,3295.0,0,5.0,0,60.97412436521162,1
1685505600.0,Andover,3236.0,0,614.0,0,6.0,0,0.0,0
1685505600.0,Ansonia,18654.0,0,6073.0,0,62.0,0,56.50732234133816,1
1685505600.0,Ashford,4255.0,0,874.0,0,7.0,0,0.0,0
1685505600.0,Avon,18276.0,0,3823.0,0,88.0,0,72.91151967377333,1
1685505600.0,Barkhamsted,3606.0,0,649.0,0,10.0,0,0.0,0
1685505600.0,Beacon Falls,6222.0,0,1600.0,0,13.0,0,0.0,0
1685505600.0,Berlin,20436.0,0,5056.0,0,59.0,0,67.37280845399218,1
1685505600.0,Bethany,5548.0,0,1223.0,0,5.0,0,0.0,0
1685505600.0,Bethel,19800.0,0,4874.0,0,74.0,0,0.0,0
1685505600.0,Bethlehem,3402.0,0,713.0,0,7.0,0,0.0,0
1685505600.0,Bloomfield,21211.0,0,6140.0,0,152.0,0,66.11857058826129,1
1685505600.0,Bolton,4884.0,0,930.0,0,7.0,0,0.0,0
1685505600.0,Bozrah,2726.0,0,740.0,0,9.0,0,0.0,0
1685505600.0,Branford,27900.0,0,7545.0,0,99.0,0,67.88783207975523,1
1685505600.0,Bridgeport,144399.0,0,48917.0,0,486.0,0,6.9253,0
1685505600.0,Bridgewater,1635.0,0,253.0,0,1.0,0,0.0,0
1685505600.0,Bristol,59947.0,0,17377.0,0,252.0,0,75.18176392046061,1
1685505600.0,Brookfield,16973.0,0,4419.0,0,30.0,0,62.94454773054982,1
1685505600.0,Brooklyn,8272.0,0,2430.0,0,22.0,0,0.0,0
1685505600.0,Burlington,9704.0,0,2114.0,0,10.0,0,0.0,0
1685505600.0,Canaan,1053.0,0,39.0,0,0.0,0,0.0,0
1685505600.0,Canterbury,5079.0,0,1324.0,0,5.0,0,57.942012382486595,1
1685505600.0,Canton,10254.0,0,1910.0,0,41.0,0,66.77064887824096,1
1685505600.0,Chaplin,2239.0,0,502.0,0,5.0,0,0.0,0
1685505600.0,Cheshire,28937.0,0,7900.0,0,90.0,0,67.15320129777874,1
1685505600.0,Chester,4213.0,0,751.0,0,20.0,0,60.8900111699706,1
1685505600.0,Clinton,12925.0,0,3229.0,0,21.0,0,62.18222544429325,1
1685505600.0,Colchester,15809.0,0,3715.0,0,54.0,0,66.63497324238823,1
1685505600.0,Colebrook,1400.0,0,171.0,0,2.0,0,0.0,0
1685505600.0,Columbia,5379.0,0,1163.0,0,13.0,0,60.13214575930988,1
1685505600.0,Cornwall,1362.0,0,232.0,0,2.0,0,0.0,0
1685505600.0,Coventry,12407.0,0,2562.0,0,14.0,0,0.0,0
1685505600.0,Cromwell,13839.0,0,3507.0,0,73.0,0,64.83287750322259,1
1685505600.0,Danbury,84694.0,0,23488.0,0,244.0,0,84.85507874668538,1
1685505600.0,Darien,21728.0,0,4530.0,0,17.0,0,71.72979944235776,1
1685505600.0,Deep River,4443.0,0,899.0,0,3.0,0,0.0,0
1685505600.0,Derby,12339.0,0,3823.0,0,33.0,0,0.0,0
1685505600.0,Durham,7165.0,0,1750.0,0,11.0,0,0.0,0
1685505600.0,East Granby,5140.0,0,1079.0,0,5.0,0,0.0,0
1685505600.0,East Haddam,8997.0,0,1620.0,0,28.0,0,0.0,0
1685505600.0,East Hampton,12800.0,0,2813.0,0,30.0,0,65.31009073339466,1
1685505600.0,East Hartford,49872.0,0,15983.0,0,213.0,0,61.364687547391085,1
1685505600.0,East Haven,28569.0,0,8949.0,0,114.0,0,0.0,0
1685505600.0,East Lyme,18462.0,0,4870.0,0,68.0,0,64.89751701397282,1
1685505600.0,East Windsor,11668.0,0,2662.0,0,64.0,0,0.0,0
1685505600.0,Eastford,1790.0,0,308.0,0,4.0,0,0.0,0
1685505600.0,Easton,7521.0,0,1711.0,0,7.0,0,60.564563432817366,1
1685505600.0,Ellington,16467.0,0,2780.0,0,37.0,0,73.78986808348047,1
1685505600.0,Enfield,43659.0,0,10989.0,0,100.0,0,77.51931807308297,1
1685505600.0,Essex,6668.0,0,1364.0,0,19.0,0,61.791349395092894,1
1685505600.0,Fairfield,62045.0,0,18493.0,0,266.0,0,72.5256106715749,1
1685505600.0,Farmington,25497.0,0,5670.0,0,77.0,0,74.84183299502277,1
1685505600.0,Franklin,1920.0,0,494.0,0,2.0,0,0.0,0
1685505600.0,Glastonbury,34482.0,0,7755.0,0,131.0,0,82.19622700830978,1
1685505600.0,Goshen,2863.0,0,568.0,0,4.0,0,0.0,0
1685505600.0,Granby,11507.0,0,2024.0,0,35.0,0,68.3559252748409,1
1685505600.0,Greenwich,62840.0,0,17350.0,0,149.0,0,9.5481,0
1685505600.0,Griswold,11534.0,0,3421.0,0,36.0,0,58.596744661105156,1
1685505600.0,Groton,38436.0,0,9729.0,0,138.0,0,77.11639746620338,1
1685505600.0,Guilford,22133.0,0,5770.0,0,54.0,0,0.0,0
1685505600.0,Haddam,8193.0,0,1715.0,0,13.0,0,62.28775323523584,1
1685505600.0,Hamden,60556.0,0,17494.0,0,252.0,0,13.2109,0
1685505600.0,Hampton,1842.0,0,526.0,0,1.0,0,0.0,0
1685505600.0,Hartford,122105.0,0,38531.0,0,444.0,0,7.3707,0
1685505600.0,Hartland,2120.0,0,305.0,0,6.0,0,58.824145192287624,1
1685505600.0,Harwinton,5420.0,0,1227.0,0,10.0,0,59.6155234665759,1
1685505600.0,Hebron,9504.0,0,1916.0,0,17.0,0,63.89245715441755,1
1685505600.0,Kent,2777.0,0,672.0,0,2.0,0,0.0,0
1685505600.0,Killingly,17336.0,0,5226.0,0,90.0,0,61.08019172112543,1
1685505600.0,Killingworth,6364.0,0,1346.0,0,12.0,0,0.0,0
1685505600.0,Lebanon,7144.0,0,1697.0,0,9.0,0,59.954107627956994,1
1685505600.0,Ledyard,14621.0,0,4051.0,0,18.0,0,0.0,0
1685505600.0,Lisbon,4220.0,0,1063.0,0,15.0,0,0.0,0
1685505600.0,Litchfield,8094.0,0,1622.0,0,14.0,0,0.0,0
1685505600.0,Lyme,2316.0,0,400.0,0,3.0,0,0.0,0
1685505600.0,Madison,18030.0,0,4403.0,0,51.0,0,66.40119097465778,1
1685505600.0,Manchester,57584.0,0,14610.0,0,209.0,0,87.45349708813106,1
1685505600.0,Mansfield,25487.0,0,3557.0,0,36.0,0,0.0,0
1685505600.0,Marlborough,6335.0,0,1411.0,0,33.0,0,0.0,0
1685505600.0,Meriden,59395.0,0,20325.0,0,249.0,0,53.01705488781596,1
1685505600.0,Middlebury,7798.0,0,1931.0,0,25.0,0,0.0,0
1685505600.0,Middlefield,4374.0,0,871.0,0,7.0,0,0.0,0
1685505600.0,Middletown,46258.0,0,13072.0,0,199.0,0,73.43848702023013,1
1685505600.0,Milford,54747.0,0,15439.0,0,211.0,0,75.59506456530366,1
1685505600.0,Monroe,19434.0,0,4959.0,0,27.0,0,0.0,0
1685505600.0,Montville,18508.0,0,5584.0,0,55.0,0,59.29096813262476,1
1685505600.0,Morris,2254.0,0,394.0,0,3.0,0,0.0,0
1685505600.0,Naugatuck,31108.0,0,9650.0,0,157.0,0,0.0,0
1685505600.0,New Britain,72495.0,0,23285.0,0,299.0,0,16.5529,0
1685505600.0,New Canaan,20233.0,0,4263.0,0,52.0,0,0.0,0
1685505600.0,New Fairfield,13878.0,0,2981.0,0,16.0,0,0.0,0
1685505600.0,New Hartford,6656.0,0,1322.0,0,7.0,0,61.451189550595934,1
1685505600.0,New Haven,130250.0,0,42963.0,0,321.0,0,10.7486,0
1685505600.0,New London,26858.0,0,9400.0,0,58.0,0,50.4546804237679,1
1685505600.0,New Milford,26805.0,0,6181.0,0,69.0,0,26.1145,0
1685505600.0,Newington,30014.0,0,8147.0,0,157.0,0,71.1373342927833,1
1685505600.0,Newtown,27891.0,0,6334.0,0,95.0,0,76.21911220096112,1
1685505600.0,Norfolk,1630.0,0,162.0,0,2.0,0,0.0,0
1685505600.0,North Branford,14146.0,0,3832.0,0,42.0,0,0.0,0
1685505600.0,North Canaan,3251.0,0,664.0,0,21.0,0,0.0,0
1685505600.0,North Haven,23683.0,0,7373.0,0,80.0,0,59.06169362861094,1
1685505600.0,North Stonington,5196.0,0,1181.0,0,14.0,0,0.0,0
1685505600.0,Norwalk,88816.0,0,27200.0,0,299.0,0,70.3038509824937,1
1685505600.0,Norwich,38768.0,0,12829.0,0,115.0,0,54.76170758286279,1
1685505600.0,Old Lyme,7306.0,0,1655.0,0,6.0,0,0.0,0
1685505600.0,Old Saybrook,10061.0,0,2622.0,0,73.0,0,62.955303546215866,1
1685505600.0,Orange,13926.0,0,3753.0,0,30.0,0,61.092875445026834,1
1685505600.0,Oxford,13255.0,0,3097.0,0,42.0,0,0.0,0
1685505600.0,Plainfield,15125.0,0,4434.0,0,57.0,0,0.0,0
1685505600.0,Plainville,17534.0,0,4848.0,0,74.0,0,63.36166539994316,1
1685505600.0,Plymouth,11598.0,0,2833.0,0,23.0,0,0.0,0
1685505600.0,Pomfret,4203.0,0,949.0,0,8.0,0,0.0,0
1685505600.0,Portland,9267.0,0,2023.0,0,34.0,0,63.492288667840185,1
1685505600.0,Preston,4625.0,0,1298.0,0,11.0,0,57.45431646071645,1
1685505600.0,Prospect,9702.0,0,2464.0,0,12.0,0,0.0,0
1685505600.0,Putnam,9389.0,0,2500.0,0,42.0,0,0.0,0
1685505600.0,Redding,9116.0,0,1683.0,0,23.0,0,65.00898905144419,1
1685505600.0,Ridgefield,24959.0,0,5348.0,0,80.0,0,76.11153874605486,1
1685505600.0,Rocky Hill,20115.0,0,5315.0,0,157.0,0,0.0,0
1685505600.0,Roxbury,2152.0,0,399.0,0,2.0,0,0.0,0
1685505600.0,Salem,4083.0,0,1003.0,0,7.0,0,0.0,0
1685505600.0,Salisbury,3600.0,0,692.0,0,7.0,0,0.0,0
1685505600.0,Scotland,1672.0,0,139.0,0,2.0,0,0.0,0
1685505600.0,Seymour,16437.0,0,4885.0,0,90.0,0,0.0,0
1685505600.0,Sharon,2689.0,0,414.0,0,5.0,0,0.0,0
1685505600.0,Shelton,41129.0,0,12101.0,0,238.0,0,71.24729169397249,1
1685505600.0,Sherman,3630.0,0,596.0,0,3.0,0,0.0,0
1685505600.0,Simsbury,25395.0,0,4699.0,0,39.0,0,79.54645610566578,1
1685505600.0,Somers,10784.0,0,2481.0,0,25.0,0,0.0,0
1685505600.0,South Windsor,26162.0,0,5799.0,0,79.0,0,75.46330634734902,1
1685505600.0,Southbury,19571.0,0,4576.0,0,105.0,0,71.24449248695727,1
1685505600.0,Southington,43834.0,0,11245.0,0,151.0,0,11.4067,0
1685505600.0,Sprague,2859.0,0,893.0,0,6.0,0,0.0,0
1685505600.0,Stafford,11893.0,0,2071.0,0,39.0,0,0.0,0
1685505600.0,Stamford,129638.0,0,36236.0,0,408.0,0,4.6283,0
1685505600.0,Sterling,3782.0,0,874.0,0,4.0,0,0.0,0
1685505600.0,Stonington,18559.0,0,4368.0,0,70.0,0,0.0,0
1685505600.0,Stratford,51849.0,0,17086.0,0,231.0,0,13.5007,0
1685505600.0,Suffield,15814.0,0,4446.0,0,56.0,0,61.583896194035496,1
1685505600.0,Thomaston,7535.0,0,2109.0,0,19.0,0,0.0,0
1685505600.0,Thompson,9379.0,0,2017.0,0,16.0,0,0.0,0
1685505600.0,Tolland,14618.0,0,2716.0,0,28.0,0,69.80521657408543,1
1685505600.0,Torrington,34044.0,0,9798.0,0,200.0,0,70.33571924298121,1
1685505600.0,Trumbull,35673.0,0,10683.0,0,189.0,0,67.0292120830503,1
1685505600.0,Union,839.0,0,260.0,0,2.0,0,0.0,0
1685505600.0,Vernon,29359.0,0,6110.0,0,92.0,0,0.0,0
1685505600.0,Voluntown,2510.0,0,627.0,0,7.0,0,0.0,0
1685505600.0,Wallingford,44326.0,0,13362.0,0,232.0,0,13.5361,0
1685505600.0,Warren,1395.0,0,179.0,0,0.0,0,0.0,0
1685505600.0,Washington,3428.0,0,635.0,0,2.0,0,59.103810302973855,1
1685505600.0,Waterbury,107568.0,0,38208.0,0,538.0,0,45.06298615848714,1
1685505600.0,Waterford,18746.0,0,5522.0,0,93.0,0,62.17592887118046,1
1685505600.0,Watertown,21578.0,0,6019.0,0,93.0,0,64.75877833802693,1
1685505600.0,West Hartford,62965.0,0,14662.0,0,297.0,0,11.1173,0
1685505600.0,West Haven,54620.0,0,16167.0,0,181.0,0,9.1542,0
1685505600.0,Westbrook,6869.0,0,1615.0,0,12.0,0,60.09438408510222,1
1685505600.0,Weston,10252.0,0,2045.0,0,8.0,0,0.0,0
1685505600.0,Westport,28491.0,0,6517.0,0,44.0,0,17.5494,0
1685505600.0,Wethersfield,26008.0,0,7180.0,0,67.0,0,0.0,0
1685505600.0,Willington,5864.0,0,986.0,0,6.0,0,0.0,0
1685505600.0,Wilton,18343.0,0,4045.0,0,66.0,0,0.0,0
1685505600.0,Winchester,10604.0,0,2231.0,0,19.0,0,64.13603937062854,1
1685505600.0,Windham,24561.0,0,7950.0,0,85.0,0,0.0,0
1685505600.0,Windsor Locks,12854.0,0,3345.0,0,49.0,0,0.0,0
1685505600.0,Windsor,28733.0,0,8673.0,0,175.0,0,65.58196953915164,1
1685505600.0,Wolcott,16587.0,0,4689.0,0,65.0,0,61.988902320701975,1
1685505600.0,Woodbridge,8750.0,0,2110.0,0,51.0,0,0.0,0
1685505600.0,Woodbury,9502.0,0,2002.0,0,16.0,0,63.22974448195028,1
1685505600.0,Woodstock,7858.0,0,1613.0,0,9.0,0,62.08377631834689,1
1685505600.0,Not_available,12935.245923022665,1,3287.0,0,5.0,0,60.97987344478117,1
1685419200.0,Andover,3236.0,0,614.0,0,6.0,0,0.0,0
1685419200.0,Ansonia,18654.0,0,6074.0,0,62.0,0,56.500258494071616,1
1685419200.0,Ashford,4255.0,0,874.0,0,7.0,0,0.0,0
1685419200.0,Avon,18276.0,0,3823.0,0,88.0,0,0.0,0
1685419200.0,Barkhamsted,3606.0,0,649.0,0,10.0,0,59.79526442294157,1
1685419200.0,Beacon Falls,6222.0,0,1600.0,0,13.0,0,0.0,0
